SYNC.PY		|| 02 Sep 2015 13:57:14 >> data sort path path_sortpath_data does NOT EXIST
SORT.PY	||!02 Sep 2015 13:57:23 audio source path pathpath_audio does NOT EXIST
SYNC.PY		|| 02 Sep 2015 13:57:23	 >>    Finish of upload 
SORT.PY	||!02 Sep 2015 13:57:23 image source path pathpath_image does NOT EXIST
SYNC.PY	|| 02 Sep 2015 13:57:23 Internet connection is NOT available
 
SORT.PY	|| 02 Sep 2015 13:57:24 Zacatek Sortingu 
SORT.PY	||!02 Sep 2015 13:57:24 image source path pathpath_image does NOT EXIST

SORT.PY	||	 >> 2015090213 Konec sort.py - 

SYNC.PY		|| 02 Sep 2015 13:57:24 >> image sort path path_sortpath_image does NOT EXIST
SERVERSETUP.PY	|| 02 Sep 2015 13:57:24 slozka path_audio neexistuje 
SORT.PY	|| 02 Sep 2015 13:57:24 Zacatek Sortingu 
SYNC.PY		|| 02 Sep 2015 13:57:25 >> image sort path path_sortpath_image does NOT EXIST
SYNC.PY		|| 02 Sep 2015 13:57:25 >> image sort path path_sortpath_image does NOT EXIST
SYNC.PY		|| 02 Sep 2015 13:57:25 >> image sort path path_sortpath_image does NOT EXIST
SORT.PY	|| 02 Sep 2015 13:57:25 Zacatek Sortingu 
SERVERSETUP.PY	|| 02 Sep 2015 13:57:25 Konec server setup 
DISKGUARD.PY	|| 02 Sep 2015 13:57:25 disk usage:1000MB free from 50MB  
SYNC.PY		|| 02 Sep 2015 13:57:25	 >>   Start of Upload
SORT.PY	||!02 Sep 2015 13:57:25 image source path pathpath_image does NOT EXIST
RUN.PY		|| 02 Sep 2015 13:57:25Data synchronisation system was started.
SERVERSETUP.PY	|| 02 Sep 2015 13:57:25 Zacatek server setup 
SYNC.PY		|| 02 Sep 2015 13:57:26	 >>   Start of Upload
SERVERSETUP.PY	|| 02 Sep 2015 13:57:26 Konec server setup 

SYNC.PY		|| 02 Sep 2015 13:57:26 >> image sort path path_sortpath_image does NOT EXIST
DISKGUARD.PY	|| 02 Sep 2015 13:57:26 disk usage:1000MB free from 50MB  
SERVERSETUP.PY	|| 02 Sep 2015 13:57:26 slozka path_data neexistuje 

SORT.PY	||	 >> 2015090213 Konec sort.py - 
SERVERSETUP.PY	|| 02 Sep 2015 13:57:26 slozka path_data neexistuje 
SYNC.PY		|| 02 Sep 2015 13:57:26 >> data sort path path_sortpath_data does NOT EXIST
SORT.PY	||	 >> 2015090213 Konec sort.py - 
SORT.PY	|| 02 Sep 2015 13:57:27 Zacatek Sortingu 
SERVERSETUP.PY	|| 02 Sep 2015 13:57:27 slozka path_data neexistuje 
SERVERSETUP.PY	|| 02 Sep 2015 13:57:27 Zacatek server setup 
DISKGUARD.PY	|| 02 Sep 2015 13:57:27 disk usage:1000MB free from 50MB !!!!!! Na disku dochazi misto :  
SYNC.PY	|| 02 Sep 2015 13:57:27 Start of synchronisation 
SERVERSETUP.PY	|| 02 Sep 2015 13:57:27 Zacatek server setup 
SYNC.PY		|| 02 Sep 2015 13:57:27 >> image sort path path_sortpath_image does NOT EXIST
DISKGUARD.PY	|| 02 Sep 2015 13:57:27 disk usage:1000MB free from 50MB !!!!!! Na disku dochazi misto :  
SORT.PY	||!02 Sep 2015 13:57:28 image source path pathpath_image does NOT EXIST
SERVERSETUP.PY	|| 02 Sep 2015 13:57:28 slozka path_image neexistuje
SORT.PY	||!02 Sep 2015 13:57:28 data source path pathpath_data does NOT EXIST
SERVERSETUP.PY	|| 02 Sep 2015 13:57:28 Zacatek server setup 
SERVERSETUP.PY	|| 02 Sep 2015 13:57:28 Zacatek server setup 
SYNC.PY	|| 02 Sep 2015 13:57:28 Start of synchronisation 
SORT.PY	||!02 Sep 2015 13:57:28 audio source path pathpath_audio does NOT EXIST
DISKGUARD.PY	|| 02 Sep 2015 13:57:28 disk usage:1000MB free from 50MB !!!!!! Na disku dochazi misto :  
SORT.PY	||	 >> 2015090213 Konec sort.py - 
SORT.PY	||!02 Sep 2015 13:57:28 data source path pathpath_data does NOT EXIST
